name,group,type,category,valuetype,value
reproducable?,parameter,global,setup,boolean,FALSE
rnd-seed,parameter,global,setup,numeric,3478436
which-map,parameter,global,setup,string,hundred-farmers3
land-use-change-decision,parameter,global,setup,string,only-one-field-per-year
sim-time,parameter,global,setup,numeric,50
price_scenario,parameter,global,prices,string,constant_prices
price-fluctuation-percent,parameter,global,prices,numeric,10
historical_smoothing,parameter,global,prices,numeric,0
LUT-0-folder,parameter,global,prices,string,oilpalm
LUT-0-price,parameter,global,prices,numeric,90
LUT-0-price-mu,parameter,global,prices,numeric,1.9
LUT-0-price-sd,parameter,global,prices,numeric,1.9
LUT-1-folder,parameter,global,prices,string,rubber
LUT-1-price,parameter,global,prices,numeric,1100
LUT-1-price-mu,parameter,global,prices,numeric,11
LUT-1-price-sd,parameter,global,prices,numeric,11
consumption-on?,parameter,global,consumption,boolean,TRUE
consumption_base,parameter,global,consumption,numeric,1000
consumption_frac_cash,parameter,global,consumption,numeric,0.1
consumption_frac_wealth,parameter,global,consumption,numeric,0.05
heterogeneous-hhs?,parameter,global,inefficiency,boolean,TRUE
learning-spillover?,parameter,global,inefficiency,boolean,TRUE
setup-hh-network,parameter,global,inefficiency,string,hh-nw-n-nearest-neighbors
hh-nw-param1,parameter,global,inefficiency,numeric,10
hh-nw-param2,parameter,global,inefficiency,numeric,50
spillover-share,parameter,global,inefficiency,numeric,1
h_debt_years_max_bankrupt,parameter,global,landmarket,numeric,5
landmarket?,parameter,global,landmarket,boolean,TRUE
buyer_pool_n,parameter,global,landmarket,numeric,20
immigrant_probability,parameter,global,landmarket,numeric,0.5
land_price_increase,parameter,global,landmarket,numeric,0.05
immigrant-xp-bonus,parameter,global,landmarket,string,[0 0]
immigrant-wealth-factor,parameter,global,landmarket,numeric,1
initial-wealth-distribution,parameter,global,wealth,string,log-normal
init-wealth-correction-factor,parameter,global,wealth,numeric,10
wealth-log-mean,parameter,global,wealth,numeric,7
wealth-log-sd,parameter,global,wealth,numeric,1
wealth-constant,parameter,global,wealth,numeric,10000
min-wealth,parameter,global,wealth,numeric,30
time-horizon,parameter,global,capital,numeric,10
discount-rate,parameter,global,capital,numeric,0.1
land_price,parameter,global,capital,numeric,750
external_income,parameter,global,capital,numeric,500
rent_rate_capital_lend,parameter,global,capital,numeric,0.1
rent_rate_capital_borrow,parameter,global,capital,numeric,0.15
rent_rate_land,parameter,global,capital,numeric,0.1
