rownr,name,prob_forest,prob_jungle,prob_oilpalm,prob_rubber
1,Acacia pennata,0.124999987,0,0,0
2,Acer laurinum,0,0.152290095,0,0
3,Acmella paniculata,0,0,0.124901693,0.018769951
4,Acranthera sp. 01,0,0,0.122307298,0
5,Acronychia pedunculata,0.325510693,0.168290983,0,0
6,Actinodaphne cf. glomerata,0.125,0,0,0
7,Actinodaphne oleifolia,0.247885413,0.072848046,0,0
8,Adenia macrophylla,0.066633815,0.484423003,0,0
9,Adiantum latifolium,0,0,0.308646578,0
10,Adinandra cf. integerrima,0,0.102217712,0,0
11,Adinandra cf. sarosanthera,0,0.125,0,0
12,Adinandra dumosa,0,0,0.106634374,0
13,Agelaea borneensis,0.676305704,0.418309399,0,0
14,Agelaea macrophylla,0.749967153,0.316399649,0,0
15,Agelaea trinervis,0,0.118313124,0,0
16,Ageratum conyzoides,0,0,0.996678474,0.058810857
17,Aglaia argentea,0.231463891,0.071620558,0,0
18,Aglaia crassinervia,0.109916908,0,0,0
19,Aglaia cucullata,0.042128219,0,0,0
20,Aglaia lawii,0.20611665,0.125,0,0
21,Aglaia leucophylla,0.465502772,0,0,0
22,Aglaia malaccensis,0.189417281,0,0,0
23,Aglaia odoratissima,0.156489102,0.119866199,0,0
24,Aglaia palembanica,0.124371563,0,0,0
25,Aglaia rubiginosa,0.089855286,0,0,0
26,Aglaia sexipetala,0.089855286,0,0,0
27,Aglaia silvestris,0.427106462,0,0,0
28,Aglaia simplicifolia,0.103556841,0,0,0
29,Aglaia spectabilis,0.228340693,0,0,0
30,Aglaia tomentosa,0.404115077,0.125,0,0
31,Agrostistachys borneensis,0,0.180909935,0.090845439,0.043307949
32,Agrostistachys gaudichaudii,0,0,0.017520612,0.006263422
33,Ailanthus integrifolia,0.161083207,0,0,0
34,Alangium cf. kurzii,0,0.141533346,0,0
35,Alangium javanicum,0.330867737,0.208963372,0,0
36,Alangium longiflorum,0.078544962,0.053370335,0,0
37,Alangium ridleyi,0.096688666,0,0,0
38,Alangium salviifolium,0.234916908,0.123556384,0,0
39,Alangium uniloculare,0.226825695,0,0,0
40,Albertisia papuana ,0.124974331,0,0,0
41,Alchornea tiliifolia,0.125,0.248234664,0,0
42,Allophylus cobbe,0.190838881,0,0,0
43,Alocasia cf. wongii,0,0.367659894,0,0.005848355
44,Alocasia longiloba,0.212252085,0,0,0
45,Alseodaphne bancana,0.124375192,0.124646803,0,0
46,Alseodaphne lancilimba,0,0.124999952,0,0
47,Alseodaphne nigrescens,0,0.072848046,0,0
48,Alstonia angustifolia,0.249918633,0.860119462,0.232910361,0.258615991
49,Alstonia pneumatophora,0,0.103254743,0,0
50,Alstonia scholaris,0.066633815,0.765446546,0.168650679,0.079360502
51,Alyxia pilosa,0.042128219,0,0,0
52,Alyxia sp. 01,0,0.125,0,0
53,Amischotolype mollissima,0.408706067,0,0,0
54,Amorphophallus sp. 03,0.048789288,0,0,0
55,Ampelocissus ascendiflora,0,0.072848046,0,0
56,Ampelocissus elegans,0.042128219,0,0,0
57,Ampelocissus gracilis,0.31018164,0,0,0
58,Ampelocissus spicifer,0.578604389,0.24934677,0,0
59,Ampelocissus thyrsiflora,0.159921167,0.118313124,0,0
60,Amydrium medium,0.25,0.125,0,0
61,Amydrium sp. 01,0.289362628,0,0,0
62,Anadendrum affine,0.078544962,0,0,0
63,Anadendrum latifolium,0.125,0,0,0
64,Anadendrum marginatum,0.048789288,0.043309399,0,0
65,Anadendrum microstachyum,0.871461727,0,0,0
66,Anadendrum montanum,0.207499465,0.124728468,0,0
67,Anamirta cocculus,0.048789288,0,0,0
68,Ancistrocladus tectorius,0.249996968,0,0,0
69,Andrographis paniculata,0,0,0.125,0.088192483
70,Anerincleistus hirsutus,0.122239484,0,0,0
71,Angiopteris evecta,0.125,0,0,0
72,Anisophyllea disticha,0.494556724,0.233061841,0.122307298,0.125
73,Anisoptera costata,0.191227688,0,0,0.006263422
74,Annonaceae sp. 02,0.125,0,0,0
75,Annonaceae sp. 08,0,0.0686853,0.024300261,0
76,Annonaceae sp. 09,0,0.226375013,0,0
77,Annonaceae sp. 14,0.048789288,0.125,0,0
78,Annonaceae sp. 20,0,0.125,0,0
79,Annonaceae sp. 23,0,0.071620558,0,0
80,Annonaceae sp. 30,0.089855286,0.090124874,0,0
81,Annonaceae sp. 35,0.237287866,0,0,0
82,Annonaceae sp. 36,0.066633815,0.121226442,0,0
83,Annonaceae sp. 40,0,0.124999994,0,0
84,Annonaceae sp. 41,0.124225962,0.176747189,0,0
85,Annonaceae sp. 42,0,0.0686853,0,0
86,Annonaceae sp. 44,0.122627228,0,0,0
87,Annonaceae sp. 46,0.048789288,0,0,0
88,Annonaceae sp. 48,0.096688666,0,0,0
89,Annonaceae sp. 49,0.11859961,0,0,0
90,Antiaris toxicaria,0.191630784,0.257812384,0,0
91,Antidesma cf. velutinum,0.244866712,0,0,0
92,Antidesma coriaceum,0.489490891,0,0,0
93,Antidesma cuspidatum,0.498764159,0.796197779,0.031126224,0.059486291
94,Antidesma forbesii,0.248189593,0.108061889,0.076801412,0
95,Antidesma leucopodum,0.298006249,0.125,0,0
96,Antidesma neurocarpum,0.233249784,0.244866199,0,0
97,Antidesma sp. 07,0,0.119866199,0,0
98,Antidesma sp. 21,0.109916908,0,0,0
99,Antidesma stipulare,0.103556841,0,0,0
100,Antidesma tomentosum,0.212803188,0,0,0
101,Antidesma velutinosum,0,0.12247652,0,0
102,Antrophyum callifolium,0.097760742,0,0,0
103,Aphanamixis polystachya,0.066633815,0,0,0
104,Apocynaceae sp. 08,0,0.217955179,0,0
105,Apocynaceae sp. 13,0,0.0686853,0,0
106,Apocynaceae sp. 19,0.048789288,0,0,0
107,Apocynaceae sp. 25,0.103556841,0,0,0
108,Aporosa antennifera,0.354689536,0.122714349,0,0
109,Aporosa arborea,0.197621031,0,0,0
110,Aporosa benthamiana,0,0.072848046,0,0
111,Aporosa cf. falcifera,0.066633815,0,0,0
112,Aporosa frutescens,0.3383049,0,0,0
113,Aporosa lucida,0.573113332,0.122714349,0,0
114,Aporosa lunata,0.199878591,0,0,0
115,Aporosa nervosa,0.499999992,0.108409659,0,0
116,Aporosa octandra,0,0.227217712,0.436928037,0.220392752
117,Aporosa prainiana,0.066633815,0.125,0,0
118,Aporosa subcaudata,0.615058472,0.125,0,0.00295908
119,Aporosa symplocoides,0.475716827,0,0,0
120,Aporosa whitmorei ,0,0.125,0,0
121,Aquilaria malaccensis,0.145178777,0.043309399,0,0.01202336
122,Araceae sp. 02,0.125,0,0,0
123,Araceae sp. 22,0.066633815,0,0,0
124,Aralidium pinnatifidum,0.097380085,0,0,0
125,Arcangelisia flava,0.346647735,0.240009182,0,0
126,Archidendron bubalinum,0.347760742,0.696620291,0.125,0.215176522
127,Archidendron clypearia,0.157261943,0.125,0,0
128,Archidendron fagifolium,0.335528465,0.322693801,0,0
129,Archidendron jiringa,0,0.124997114,0.058775684,0
130,Archidendron microcarpum,0.22579125,0.186998424,0,0
131,Ardisia fuliginosa,0.482543226,0,0,0
132,Ardisia korthalsiana,0,0.124999998,0,0
133,Ardisia odontophylla,0.048789288,0,0,0
134,Ardisia pterocaulis,0.125,0,0,0
135,Ardisia purpurea,0.216360352,0,0,0
136,Ardisia sanguinolenta,0.191005378,0.244866199,0,0
137,Ardisia sp. 05,0,0.125,0,0
138,Ardisia sp. 08,0.078544962,0,0,0
139,Ardisia sp. 09,0.103556841,0,0,0
140,Ardisia villosa,0.115133724,0,0,0
141,Areca sp. 02,0.097760742,0,0,0
142,Arecaceae sp. 01,0,0.043309399,0,0
143,Arecaceae sp. 02,0.119076068,0,0,0
144,Arecaceae sp. 05,0.103556841,0,0,0
145,Arecaceae sp. 06,0.214230479,0,0,0
146,Arecaceae sp. 11,0.066227688,0,0,0
147,Arecaceae sp. 13,0.097380085,0,0,0
148,Artabotrys hexapetalus,0.377140346,0,0,0
149,Artabotrys maingayi,0.048789288,0.118313124,0,0
150,Artabotrys suaveolens,0.212569315,0,0,0
151,Artabotrys tomentosus,0.066227688,0,0,0
152,Artocarpus anisophyllus,0.190189552,0.1936853,0,0.01202336
153,Artocarpus dadah,0.066633815,0.490789645,0,0
154,Artocarpus elasticus,0.191210873,0.844967379,0,0.041607069
155,Artocarpus heterophyllus,0,0,0,0.004981497
156,Artocarpus hispidus,0.048789288,0,0,0
157,Artocarpus integer,0.435701354,0.483015719,0,0
158,Artocarpus kemando,0.280148552,0.430863409,0,0
159,Artocarpus nitidus,0.260668761,0.233061655,0,0
160,Artocarpus rigida,0,0.108061889,0,0
161,Artocarpus rigidus,0.504221612,0.713490462,0,0.01202336
162,Artocarpus sp. 04,0,0,0.018353623,0
163,Arytera littoralis,0.211188915,0.203712222,0,0
164,Asplenium bantamense,0.078544962,0,0,0
165,Asplenium glaucophyllum,0.234916908,0,0,0
166,Asplenium longissimum,0,0,0.373699384,0
167,Asplenium nidus,0.392044415,0.304570289,0.070090486,0
168,Asystasia gangetica,0,0.07944205,0.875,0.25
169,Atuna racemosa,0.048789288,0,0,0
170,Axonopus compressus,0,0.400019572,1,0.991646359
171,Baccaurea cf. velutina,0.109916908,0,0,0
172,Baccaurea deflexa,0.125,0,0,0
173,Baccaurea dulcis,0.3690504,0.12490616,0,0
174,Baccaurea javanica,0.301199581,0.108061889,0,0
175,Baccaurea lanceolata,0,0.108061889,0,0
176,Baccaurea macrocarpa,0.222156452,0.233060507,0,0.004378284
177,Baccaurea macrophylla,0.066633815,0,0,0
178,Baccaurea minor,0.337817713,0.124692861,0,0
179,Baccaurea mollis,0.402052451,0,0,0
180,Baccaurea parviflora,0.55783665,0,0.016674763,0
181,Baccaurea polyneura,0.368060468,0.108061889,0,0
182,Baccaurea pubera,0.342733104,0,0,0
183,Baccaurea pyriformis,0.541059639,0.233061841,0,0
184,Baccaurea reticulata,0.214230479,0,0,0
185,Baccaurea sp. 06,0,0.071620558,0,0
186,Baccaurea sumatrana,0.218713714,0,0,0
187,Balakata baccata,0,0.249991549,0,0.022893964
188,Barringtonia acutangula,0.048789288,0,0,0
189,Barringtonia gigantostachya,0,0.247714349,0,0
190,Barringtonia lanceolata,0.316226389,0,0,0
191,Barringtonia macrostachya,0.174383442,0.043309399,0,0
192,Barringtonia pendula,0.188462097,0.083963372,0,0
193,Barringtonia scortechinii,0.249996968,0.108061889,0,0
194,Bauhinia acuminata,0.089855286,0.230504424,0,0
