"variable" "F" "J" "O" "R" "group"
"1" "Acacia pennata" 0.125 0 0 0 "core"
"2" "Acer laurinum" 0 0.25 0 0 "core"
"3" "Acmella paniculata" 0 0 0.125 0.125 "core"
"4" "Acranthera sp. 01" 0 0 0.125 0 "core"
"5" "Acronychia pedunculata" 0.375 0.25 0 0 "core"
"6" "Actinodaphne cf. glomerata" 0.125 0 0 0 "core"
"7" "Actinodaphne oleifolia" 0.25 0.125 0 0 "core"
"8" "Adenia macrophylla" 0.125 0.625 0 0 "core"
"9" "Adiantum latifolium" 0 0 0.75 0 "core"
"10" "Adinandra cf. integerrima" 0 0.125 0 0 "core"
"11" "Adinandra cf. sarosanthera" 0 0.125 0 0 "core"
"12" "Adinandra dumosa" 0 0 0.125 0 "core"
"13" "Agelaea borneensis" 0.75 0.5 0 0 "core"
"14" "Agelaea macrophylla" 0.75 0.375 0 0 "core"
"15" "Agelaea trinervis" 0 0.125 0 0 "core"
"16" "Ageratum conyzoides" 0 0 1 0.25 "core"
"17" "Aglaia argentea" 0.25 0.125 0 0 "core"
"18" "Aglaia crassinervia" 0.125 0 0 0 "core"
"19" "Aglaia cucullata" 0.125 0 0 0 "core"
"20" "Aglaia lawii" 0.375 0.125 0 0 "core"
"21" "Aglaia leucophylla" 0.625 0 0 0 "core"
"22" "Aglaia malaccensis" 0.25 0 0 0 "core"
"23" "Aglaia odoratissima" 0.25 0.125 0 0 "core"
"24" "Aglaia palembanica" 0.125 0 0 0 "core"
"25" "Aglaia rubiginosa" 0.125 0 0 0 "core"
"26" "Aglaia sexipetala" 0.125 0 0 0 "core"
"27" "Aglaia silvestris" 0.5 0 0 0 "core"
"28" "Aglaia simplicifolia" 0.125 0 0 0 "core"
"29" "Aglaia spectabilis" 0.25 0 0 0 "core"
"30" "Aglaia tomentosa" 0.5 0.125 0 0 "core"
"31" "Agrostistachys borneensis" 0 0.25 0.125 0.125 "core"
"32" "Agrostistachys gaudichaudii" 0 0 0.125 0.125 "core"
"33" "Ailanthus integrifolia" 0.25 0 0 0 "core"
"34" "Alangium cf. kurzii" 0 0.25 0 0 "core"
"35" "Alangium javanicum" 0.5 0.25 0 0 "core"
"36" "Alangium longiflorum" 0.125 0.125 0 0 "core"
"37" "Alangium ridleyi" 0.125 0 0 0 "core"
"38" "Alangium salviifolium" 0.25 0.125 0 0 "core"
"39" "Alangium uniloculare" 0.25 0 0 0 "core"
