"name" "prob_forest" "prob_jungle" "prob_oilpalm" "prob_rubber"
"1" "Acacia pennata" 0.124999987260671 0 0 0
"2" "Acer laurinum" 0 0.15229009548255 0 0
"3" "Acmella paniculata" 0 0 0.124901693184911 0.018769951485992
"4" "Acranthera sp. 01" 0 0 0.122307297942577 0
"5" "Acronychia pedunculata" 0.325510692804925 0.168290982783858 0 0
"6" "Actinodaphne cf. glomerata" 0.125 0 0 0
"7" "Actinodaphne oleifolia" 0.24788541252413 0.0728480456741361 0 0
"8" "Adenia macrophylla" 0.066633815155497 0.484423002729257 0 0
"9" "Adiantum latifolium" 0 0 0.308646578217991 0
"10" "Adinandra cf. integerrima" 0 0.10221771204813 0 0
"11" "Adinandra cf. sarosanthera" 0 0.125 0 0
"12" "Adinandra dumosa" 0 0 0.10663437351003 0
"13" "Agelaea borneensis" 0.676305704165049 0.418309399474215 0 0
"14" "Agelaea macrophylla" 0.749967152742872 0.316399649017294 0 0
"15" "Agelaea trinervis" 0 0.118313124108416 0 0
"16" "Ageratum conyzoides" 0 0 0.996678473540506 0.0588108570110357
"17" "Aglaia argentea" 0.23146389073074 0.0716205582380079 0 0
"18" "Aglaia crassinervia" 0.109916907514451 0 0 0
"19" "Aglaia cucullata" 0.0421282193298369 0 0 0
"20" "Aglaia lawii" 0.206116649573576 0.125 0 0
"21" "Aglaia leucophylla" 0.465502772192687 0 0 0
"22" "Aglaia malaccensis" 0.189417280948059 0 0 0
"23" "Aglaia odoratissima" 0.156489101629212 0.11986619947953 0 0
"24" "Aglaia palembanica" 0.124371562699081 0 0 0
"25" "Aglaia rubiginosa" 0.0898552864737154 0 0 0
"26" "Aglaia sexipetala" 0.0898552864737154 0 0 0
"27" "Aglaia silvestris" 0.427106462057475 0 0 0
"28" "Aglaia simplicifolia" 0.1035568413887 0 0 0
"29" "Aglaia spectabilis" 0.228340692900086 0 0 0
"30" "Aglaia tomentosa" 0.404115077255267 0.125 0 0
"31" "Agrostistachys borneensis" 0 0.180909934924951 0.0908454387122416 0.043307949224291
"32" "Agrostistachys gaudichaudii" 0 0 0.0175206124852509 0.00626342161772549
"33" "Ailanthus integrifolia" 0.161083207093137 0 0 0
"34" "Alangium cf. kurzii" 0 0.141533345881183 0 0
"35" "Alangium javanicum" 0.330867736770895 0.208963371620285 0 0
"36" "Alangium longiflorum" 0.0785449622103678 0.0533703346203521 0 0
"37" "Alangium ridleyi" 0.0966886659940674 0 0 0
"38" "Alangium salviifolium" 0.234916907514451 0.123556384174056 0 0
"39" "Alangium uniloculare" 0.226825695401419 0 0 0
"40" "Albertisia papuana " 0.124974331388753 0 0 0
"41" "Alchornea tiliifolia" 0.125 0.248234664457901 0 0
"42" "Allophylus cobbe" 0.190838881298397 0 0 0
"43" "Alocasia cf. wongii" 0 0.367659894009067 0 0.00584835532915648
"44" "Alocasia longiloba" 0.212252085047042 0 0 0
"45" "Alseodaphne bancana" 0.12437519237816 0.12464680312921 0 0
"46" "Alseodaphne lancilimba" 0 0.124999951863154 0 0
"47" "Alseodaphne nigrescens" 0 0.0728480456741361 0 0
"48" "Alstonia angustifolia" 0.249918632804128 0.860119462208126 0.232910361280557 0.258615990858112
"49" "Alstonia pneumatophora" 0 0.103254743121599 0 0
"50" "Alstonia scholaris" 0.066633815155497 0.765446546407181 0.168650679285335 0.0793605019388989
"51" "Alyxia pilosa" 0.0421282193298369 0 0 0
"52" "Alyxia sp. 01" 0 0.125 0 0
"53" "Amischotolype mollissima" 0.408706066713557 0 0 0
"54" "Amorphophallus sp. 03" 0.0487892880051072 0 0 0
"55" "Ampelocissus ascendiflora" 0 0.0728480456741361 0 0
"56" "Ampelocissus elegans" 0.0421282193298369 0 0 0
"57" "Ampelocissus gracilis" 0.310181639670013 0 0 0
"58" "Ampelocissus spicifer" 0.578604389179013 0.249346769913124 0 0
"59" "Ampelocissus thyrsiflora" 0.15992116704332 0.118313124108416 0 0
"60" "Amydrium medium" 0.249999999999906 0.125 0 0
"61" "Amydrium sp. 01" 0.289362628013875 0 0 0
"62" "Anadendrum affine" 0.0785449622103678 0 0 0
"63" "Anadendrum latifolium" 0.125 0 0 0
"64" "Anadendrum marginatum" 0.0487892880051072 0.043309399477835 0 0
